subject,graph,method,n_channels,accuracy
2,1,3,9,0.7916666666666666
2,1,3,12,0.7333333333333334
2,1,3,15,0.7500000000000001
2,1,3,18,0.7916666666666666
2,1,3,21,0.7666666666666667
2,1,3,24,0.8416666666666666
2,1,3,27,0.8583333333333334
2,1,3,30,0.825
2,1,3,30,0.825
3,1,1,3,0.6666666666666666
3,1,1,4,0.675
3,1,1,5,0.8166666666666668
3,1,1,7,0.7999999999999999
3,1,1,8,0.825
3,1,1,9,0.8333333333333334
3,1,1,11,0.8833333333333334
3,1,1,12,0.8
3,1,1,13,0.925
3,1,1,14,0.9583333333333333
3,1,1,16,0.8916666666666666
3,1,1,18,0.9416666666666667
3,1,1,20,0.925
3,1,1,22,0.9333333333333333
3,1,1,29,0.9083333333333334
3,1,1,30,0.9083333333333334
3,1,2,3,0.6416666666666668
3,1,2,6,0.8083333333333332
3,1,2,9,0.8166666666666668
3,1,2,12,0.9
3,1,2,15,0.925
3,1,2,18,0.8916666666666666
3,1,2,21,0.8916666666666668
3,1,2,24,0.875
3,1,2,27,0.8916666666666668
3,1,2,30,0.9083333333333334
3,1,2,30,0.9083333333333334
3,1,3,3,0.6666666666666666
3,1,3,6,0.7333333333333333
3,1,3,9,0.875
3,1,3,12,0.8166666666666667
3,1,3,15,0.8333333333333333
3,1,3,18,0.8
3,1,3,21,0.8166666666666668
3,1,3,24,0.8999999999999998
3,1,3,27,0.9
3,1,3,30,0.9083333333333334
3,1,3,30,0.9083333333333334
4,1,1,3,0.6499999999999999
4,1,1,4,0.6916666666666667
4,1,1,5,0.6916666666666667
4,1,1,7,0.6166666666666667
4,1,1,8,0.7
4,1,1,9,0.775
4,1,1,11,0.6833333333333333
4,1,1,12,0.7333333333333334
4,1,1,13,0.7416666666666666
4,1,1,14,0.7666666666666666
4,1,1,16,0.8083333333333333
4,1,1,18,0.8833333333333334
4,1,1,20,0.8416666666666666
4,1,1,22,0.8166666666666667
4,1,1,29,0.7916666666666666
4,1,1,30,0.7916666666666667
4,1,2,3,0.55
4,1,2,6,0.7333333333333333
4,1,2,9,0.7999999999999999
4,1,2,12,0.8333333333333333
4,1,2,15,0.85
4,1,2,18,0.8083333333333333
4,1,2,21,0.8
4,1,2,24,0.7416666666666666
4,1,2,27,0.7916666666666667
4,1,2,30,0.7916666666666667
4,1,2,30,0.7916666666666667
4,1,3,3,0.6666666666666667
4,1,3,6,0.775
4,1,3,9,0.8
4,1,3,12,0.85
4,1,3,15,0.8166666666666667
4,1,3,18,0.8166666666666667
4,1,3,21,0.8
4,1,3,24,0.85
4,1,3,27,0.7916666666666667
4,1,3,30,0.7916666666666667
4,1,3,30,0.7916666666666667
5,1,1,3,0.6333333333333334
5,1,1,4,0.7666666666666667
5,1,1,5,0.725
5,1,1,7,0.6916666666666667
5,1,1,8,0.725
5,1,1,9,0.7250000000000001
5,1,1,11,0.7416666666666667
5,1,1,12,0.7083333333333333
5,1,1,13,0.7583333333333334
5,1,1,14,0.75
5,1,1,16,0.775
5,1,1,18,0.7083333333333333
5,1,1,20,0.7333333333333334
5,1,1,22,0.6916666666666667
5,1,1,29,0.8
5,1,1,30,0.7666666666666667
5,1,2,3,0.4583333333333333
5,1,2,6,0.6333333333333334
5,1,2,9,0.8
5,1,2,12,0.8
5,1,2,15,0.8166666666666667
5,1,2,18,0.7416666666666666
5,1,2,21,0.7499999999999999
5,1,2,24,0.7916666666666667
5,1,2,27,0.7666666666666666
5,1,2,30,0.7666666666666667
5,1,2,30,0.7666666666666667
5,1,3,3,0.5
5,1,3,6,0.6333333333333334
5,1,3,9,0.7666666666666667
