subject,graph,method,n_channels,accuracy
13,1,1,11,0.5833333333333334
13,1,1,12,0.5833333333333334
13,1,1,13,0.5916666666666666
13,1,1,14,0.6166666666666666
13,1,1,16,0.5833333333333333
13,1,1,18,0.5916666666666667
13,1,1,20,0.6583333333333334
13,1,1,22,0.6333333333333333
13,1,1,29,0.575
13,1,1,30,0.575
13,1,2,3,0.6416666666666668
13,1,2,6,0.575
13,1,2,9,0.6833333333333333
13,1,2,12,0.6583333333333333
13,1,2,15,0.5416666666666667
13,1,2,18,0.5833333333333333
13,1,2,21,0.5916666666666668
13,1,2,24,0.6250000000000001
13,1,2,27,0.6083333333333334
13,1,2,30,0.575
13,1,2,30,0.575
13,1,3,3,0.5916666666666666
13,1,3,6,0.6666666666666667
13,1,3,9,0.65
13,1,3,12,0.6666666666666667
13,1,3,15,0.6333333333333334
13,1,3,18,0.6166666666666667
13,1,3,21,0.5666666666666667
13,1,3,24,0.6166666666666667
13,1,3,27,0.6333333333333333
13,1,3,30,0.575
13,1,3,30,0.575
14,1,1,3,0.4666666666666666
14,1,1,4,0.5166666666666667
14,1,1,5,0.5333333333333334
14,1,1,7,0.6583333333333334
14,1,1,8,0.6333333333333333
14,1,1,9,0.6083333333333334
14,1,1,11,0.6083333333333333
14,1,1,12,0.6416666666666667
14,1,1,13,0.6083333333333333
14,1,1,14,0.6416666666666667
14,1,1,16,0.575
14,1,1,18,0.6333333333333333
14,1,1,20,0.5583333333333333
14,1,1,22,0.5416666666666666
14,1,1,29,0.5416666666666667
14,1,1,30,0.5416666666666667
14,1,2,3,0.4916666666666667
14,1,2,6,0.4333333333333334
14,1,2,9,0.5333333333333334
14,1,2,12,0.475
14,1,2,15,0.525
14,1,2,18,0.5416666666666667
14,1,2,21,0.5666666666666667
14,1,2,24,0.55
14,1,2,27,0.5333333333333334
14,1,2,30,0.5416666666666667
14,1,2,30,0.5416666666666667
14,1,3,3,0.4749999999999999
14,1,3,6,0.3833333333333333
14,1,3,9,0.5916666666666667
14,1,3,12,0.5
14,1,3,15,0.4583333333333333
14,1,3,18,0.4666666666666667
14,1,3,21,0.5
14,1,3,24,0.4916666666666667
14,1,3,27,0.5333333333333334
14,1,3,30,0.5416666666666667
14,1,3,30,0.5416666666666667
15,1,1,3,0.4083333333333334
15,1,1,4,0.4916666666666667
15,1,1,5,0.5083333333333334
15,1,1,7,0.5583333333333333
15,1,1,8,0.7
15,1,1,9,0.6416666666666667
15,1,1,11,0.675
15,1,1,12,0.6583333333333333
15,1,1,13,0.5833333333333334
15,1,1,14,0.6
15,1,1,16,0.6083333333333332
15,1,1,18,0.6166666666666667
15,1,1,20,0.6583333333333332
15,1,1,22,0.6166666666666667
15,1,1,29,0.6416666666666667
15,1,1,30,0.6416666666666667
15,1,2,3,0.37499999999999994
15,1,2,6,0.4666666666666667
15,1,2,9,0.5666666666666667
15,1,2,12,0.5666666666666667
15,1,2,15,0.625
15,1,2,18,0.675
15,1,2,21,0.6166666666666667
15,1,2,24,0.6916666666666667
15,1,2,27,0.625
15,1,2,30,0.6416666666666667
15,1,2,30,0.6416666666666667
15,1,3,3,0.4666666666666666
15,1,3,6,0.6083333333333333
15,1,3,9,0.6499999999999999
15,1,3,12,0.6666666666666666
15,1,3,15,0.6583333333333333
15,1,3,18,0.6833333333333333
15,1,3,21,0.6333333333333334
15,1,3,24,0.6083333333333333
15,1,3,27,0.6416666666666667
15,1,3,30,0.6416666666666667
15,1,3,30,0.6416666666666667
16,1,1,3,0.5333333333333334
16,1,1,4,0.5999999999999999
16,1,1,5,0.5416666666666666
16,1,1,7,0.7083333333333334
16,1,1,8,0.75
16,1,1,9,0.7166666666666666
16,1,1,11,0.7916666666666666
16,1,1,12,0.7666666666666666
16,1,1,13,0.75
16,1,1,14,0.7666666666666666
16,1,1,16,0.7249999999999999
16,1,1,18,0.7833333333333333
16,1,1,20,0.8666666666666666
16,1,1,22,0.825
16,1,1,29,0.8833333333333332
16,1,1,30,0.8833333333333332
16,1,2,3,0.5333333333333333
16,1,2,6,0.5166666666666667
16,1,2,9,0.6583333333333334
16,1,2,12,0.6833333333333333
16,1,2,15,0.7083333333333333
16,1,2,18,0.85
16,1,2,21,0.875
16,1,2,24,0.85
16,1,2,27,0.8999999999999998
16,1,2,30,0.8833333333333332
16,1,2,30,0.8833333333333332
16,1,3,3,0.575
16,1,3,6,0.6166666666666667
16,1,3,9,0.5916666666666666
16,1,3,12,0.6
16,1,3,15,0.7
16,1,3,18,0.7416666666666666
16,1,3,21,0.8166666666666667
16,1,3,24,0.8416666666666666
16,1,3,27,0.9
16,1,3,30,0.8833333333333332
16,1,3,30,0.8833333333333332
17,1,1,3,0.6333333333333333
17,1,1,4,0.6166666666666667
17,1,1,5,0.675
17,1,1,7,0.55
17,1,1,8,0.6833333333333333
17,1,1,9,0.6833333333333333
17,1,1,11,0.7166666666666666
17,1,1,12,0.6666666666666667
17,1,1,13,0.7666666666666666
17,1,1,14,0.7083333333333333
17,1,1,16,0.7416666666666666
17,1,1,18,0.75
17,1,1,20,0.7
17,1,1,22,0.7249999999999999
17,1,1,29,0.8083333333333333
17,1,1,30,0.8083333333333333
17,1,2,3,0.6083333333333334
17,1,2,6,0.5583333333333333
17,1,2,9,0.6083333333333333
17,1,2,12,0.7333333333333334
17,1,2,15,0.7833333333333333
17,1,2,18,0.8083333333333333
17,1,2,21,0.7916666666666666
17,1,2,24,0.8
17,1,2,27,0.8
17,1,2,30,0.8083333333333333
17,1,2,30,0.8083333333333333
17,1,3,3,0.5583333333333333
17,1,3,6,0.6250000000000001
17,1,3,9,0.6916666666666667
17,1,3,12,0.7166666666666666
17,1,3,15,0.7
17,1,3,18,0.775
17,1,3,21,0.75
17,1,3,24,0.7083333333333333
17,1,3,27,0.7916666666666666
17,1,3,30,0.8083333333333333
17,1,3,30,0.8083333333333333
18,1,1,3,0.625
18,1,1,4,0.5833333333333334
18,1,1,5,0.5333333333333334
