subject,graph,method,n_channels,accuracy
8,1,1,11,0.45555555555555544
8,1,1,13,0.6333333333333333
8,1,1,14,0.6888888888888889
8,1,1,17,0.5333333333333334
8,1,1,19,0.5777777777777777
8,1,1,24,0.6444444444444445
8,1,1,26,0.5666666666666667
8,1,1,30,0.7
8,1,1,32,0.7444444444444445
8,1,1,34,0.7777777777777777
8,1,1,36,0.7888888888888889
8,1,1,37,0.7555555555555555
8,1,1,63,0.7555555555555556
8,1,1,64,0.7555555555555556
8,1,2,10,0.5555555555555556
8,1,2,15,0.6111111111111112
8,1,2,20,0.6111111111111112
8,1,2,25,0.5333333333333334
8,1,2,30,0.5333333333333334
8,1,2,35,0.6
8,1,2,40,0.5555555555555556
8,1,2,45,0.8
8,1,2,50,0.7777777777777778
8,1,2,55,0.8222222222222222
8,1,2,60,0.7666666666666667
8,1,2,64,0.7555555555555556
8,1,3,10,0.5555555555555556
8,1,3,15,0.6000000000000001
8,1,3,20,0.6111111111111112
8,1,3,25,0.5888888888888888
8,1,3,30,0.8222222222222222
8,1,3,35,0.8444444444444444
8,1,3,40,0.7444444444444445
8,1,3,45,0.7555555555555555
8,1,3,50,0.7444444444444445
8,1,3,55,0.7888888888888889
8,1,3,60,0.7777777777777778
8,1,3,64,0.7555555555555556
9,1,1,6,0.6
9,1,1,11,0.48888888888888893
9,1,1,13,0.4666666666666666
9,1,1,14,0.5444444444444445
9,1,1,17,0.6666666666666667
9,1,1,19,0.6888888888888889
9,1,1,24,0.7444444444444445
9,1,1,26,0.7777777777777778
9,1,1,30,0.6666666666666666
9,1,1,32,0.6777777777777777
9,1,1,34,0.6888888888888889
9,1,1,36,0.6555555555555556
9,1,1,37,0.7
9,1,1,63,0.6666666666666667
9,1,1,64,0.6666666666666667
9,1,2,10,0.4999999999999999
9,1,2,15,0.6666666666666667
9,1,2,20,0.6222222222222222
9,1,2,25,0.6555555555555556
9,1,2,30,0.4888888888888888
9,1,2,35,0.5666666666666667
9,1,2,40,0.6888888888888889
9,1,2,45,0.6222222222222222
9,1,2,50,0.6888888888888889
9,1,2,55,0.6222222222222223
9,1,2,60,0.6777777777777778
9,1,2,64,0.6666666666666667
9,1,3,10,0.5333333333333333
9,1,3,15,0.4888888888888888
9,1,3,20,0.611111111111111
9,1,3,25,0.6666666666666667
9,1,3,30,0.6888888888888889
9,1,3,35,0.611111111111111
9,1,3,40,0.7555555555555555
9,1,3,45,0.8111111111111111
9,1,3,50,0.6333333333333333
9,1,3,55,0.711111111111111
9,1,3,60,0.6777777777777777
9,1,3,64,0.6666666666666667
10,1,1,6,0.5888888888888889
10,1,1,11,0.7111111111111111
10,1,1,13,0.9444444444444444
10,1,1,14,0.9222222222222222
10,1,1,17,0.9222222222222222
10,1,1,19,0.9222222222222222
10,1,1,24,0.9
10,1,1,26,0.9
10,1,1,30,0.9333333333333333
10,1,1,32,0.9111111111111111
10,1,1,34,0.8777777777777779
10,1,1,36,0.8444444444444444
10,1,1,37,0.888888888888889
10,1,1,63,0.9555555555555555
10,1,1,64,0.9555555555555555
10,1,2,10,0.6555555555555556
10,1,2,15,0.9222222222222223
10,1,2,20,0.9111111111111111
10,1,2,25,0.9333333333333333
10,1,2,30,0.9111111111111111
10,1,2,35,0.9111111111111111
10,1,2,40,0.9666666666666666
10,1,2,45,0.9444444444444444
10,1,2,50,0.9111111111111111
10,1,2,55,0.9444444444444444
10,1,2,60,0.9777777777777779
10,1,2,64,0.9555555555555555
10,1,3,10,0.47777777777777775
10,1,3,15,0.7555555555555555
10,1,3,20,0.8555555555555555
10,1,3,25,0.8555555555555555
10,1,3,30,0.8666666666666666
10,1,3,35,0.8444444444444444
10,1,3,40,0.8666666666666666
10,1,3,45,0.8666666666666666
10,1,3,50,0.8777777777777779
10,1,3,55,0.9111111111111111
10,1,3,60,0.9111111111111111
10,1,3,64,0.9555555555555555
11,1,1,6,0.6666666666666667
11,1,1,11,0.5555555555555556
11,1,1,13,0.6
11,1,1,14,0.5777777777777778
11,1,1,17,0.6888888888888889
11,1,1,19,0.6111111111111112
11,1,1,24,0.6888888888888889
11,1,1,26,0.6777777777777778
11,1,1,30,0.6444444444444445
11,1,1,32,0.6
11,1,1,34,0.6000000000000001
11,1,1,36,0.6777777777777778
11,1,1,37,0.6888888888888889
11,1,1,63,0.6555555555555557
11,1,1,64,0.6555555555555557
11,1,2,10,0.6
11,1,2,15,0.5888888888888888
11,1,2,20,0.7
11,1,2,25,0.5777777777777777
11,1,2,30,0.5888888888888889
11,1,2,35,0.6777777777777778
11,1,2,40,0.6888888888888889
11,1,2,45,0.688888888888889
11,1,2,50,0.5999999999999999
11,1,2,55,0.7
11,1,2,60,0.6444444444444444
11,1,2,64,0.6555555555555557
11,1,3,10,0.5888888888888888
11,1,3,15,0.5777777777777777
11,1,3,20,0.6333333333333334
11,1,3,25,0.6222222222222222
11,1,3,30,0.611111111111111
11,1,3,35,0.6111111111111112
11,1,3,40,0.6333333333333333
11,1,3,45,0.6333333333333334
11,1,3,50,0.6111111111111112
11,1,3,55,0.5777777777777777
11,1,3,60,0.6555555555555557
11,1,3,64,0.6555555555555557
12,1,1,6,0.6666666666666666
12,1,1,11,0.7333333333333333
